trial,miss_distance_m,final_altitude_m,flight_time_s,terrain_override_fired,control_saturated,rms_q_error,rms_theta_error,LAT_INIT,LON_INIT,LAT_TARGET,LON_TARGET,target_downrange_m
77,509.061011944981,782.464143796958,75.5,1,0,0.00457596250836311,0.00811903799294368,34.2397729732976,-119.438659670286,34.6519678889027,-118.773821666448,76271.6119958854
78,514.911806831756,781.437490069135,74.8,1,0,0.00509080171168245,0.0157295745097931,34.2301495486807,-119.437311722178,34.6427843806622,-118.786856294579,75256.7728276673
79,579.402223038465,794.248568866825,78.9,1,0,0.0042719530435216,0.0231602231563391,34.2352021756803,-119.474749810171,34.6537011738802,-118.765553602087,79967.111570869
80,538.177230028055,774.655986331353,77.9,1,0,0.00450376839888009,0.00715265847588127,34.2263051183235,-119.45135529633,34.6529030208808,-118.766011159969,78740.8818450807
81,568.915401083682,780.7309463231,78.9,1,0,0.00457896556812204,0.0224571502666007,34.2321594479504,-119.467375858989,34.6539407822308,-118.761163239522,79959.1829660879
82,530.279168295493,771.39028080139,77.3,1,0,0.00497612001824972,0.046981229406735,34.2232832762626,-119.450793608104,34.6516169808657,-118.777239164594,77999.6181161963
83,515.552698548004,787.858661336504,76.2,1,0,0.00500958731832186,0.0151463715813456,34.2458334155655,-119.457019372757,34.6535213182726,-118.779157960347,76930.8273755172
84,523.146505905965,769.963454049904,76.9,1,0,0.00455461089686552,0.0139806668133649,34.2393693074493,-119.461475472017,34.6521870342366,-118.778905043225,77618.4300556221
85,532.14395592715,791.790685227765,77.8,1,0,0.00461093252672034,0.0567170377794039,34.2264574049596,-119.47285628284,34.6333061379761,-118.773010941342,78527.0521342709
86,555.096853555354,784.536537431107,79.4,1,0,0.00449144388689676,0.0207813346520127,34.2175723308719,-119.456565799883,34.647011972611,-118.752497580434,80310.1128661577
87,558.237438519052,785.582754809702,77.8,1,0,0.00433901748079394,0.0140535450832541,34.2238830123508,-119.45061932149,34.659591741205,-118.772831795243,78806.3481779648
88,549.240245096564,770.239814307979,78.9,1,0,0.00479320636991541,0.0182949115003111,34.234474982613,-119.475780419716,34.6671354717582,-118.781457557104,79797.3910194766
89,537.144489341896,775.333918545535,78.1,1,0,0.00438258151904218,0.00800156892990098,34.233985688655,-119.470768993944,34.6417937103679,-118.765847257344,78964.193213614
90,594.154615688369,790.373914012918,78.1,1,0,0.00475112552098698,0.0103976806444048,34.2367123203893,-119.456486672712,34.6733712172149,-118.773338100633,79251.4539793118
91,542.825330773828,786.309178983704,78.2,1,0,0.00431505418165174,0.0457450558508484,34.2275079284189,-119.455673048261,34.6718612494061,-118.782106447663,79093.6907463077
92,692.145817410534,769.629760184491,80,1,0,0.00481833168899269,0.0272517712486557,34.2243851366221,-119.463589139804,34.6651913856154,-118.756017147699,81316.4116799708
93,529.004631984268,790.026126980842,77.2,1,0,0.00433164381649047,0.0264455293767844,34.2285351075338,-119.455595604798,34.6535854165613,-118.779752064395,77941.9161795547
94,551.112734548048,789.197776093154,79.2,0,0,0.00472430680780837,0.0284012400614439,34.2367745253174,-119.442010379293,34.6948106141555,-118.774465552903,79618.6499946045
95,555.280435929531,779.309313494635,76.3,1,0,0.00462102120630234,0.0324681178786541,34.2423866340786,-119.445256395647,34.65387953969,-118.765283866591,77337.8008660476
96,570.504806913576,768.713897553791,78.3,1,0,0.00476422568998851,0.0195014651128015,34.226028777737,-119.453824580815,34.6608863616657,-118.768118709927,79321.5430821612
97,604.391521114898,778.786935981714,77.8,1,0,0.00443973667263689,0.0156863037291727,34.2425906144032,-119.460351921079,34.6584019918844,-118.762509282468,78943.6156387293
98,576.211881891472,778.040472883479,78.7,1,0,0.00447511327252944,0.0281387322577105,34.2360708622768,-119.473406221105,34.6516596192799,-118.764647222168,79746.9302375579
99,526.519000661186,784.869039530621,77.4,1,0,0.00447745058463623,0.0364160940706911,34.250873907201,-119.477009269573,34.6482909570974,-118.773733055494,78174.4254610261
